Question,Equation,Answer,fold,Numbers,Names
name0이는 처음에 number0원을 가지고 있다가 number1원짜리 name1를 number2 사먹었고 어머니께 돈을 number3원 받았습니다. name2이가 지금 가지고 있는 돈은 얼마입니까?,number0 - number1 + number3,700,4,500 150 1 350 ,정국 과자 
어떤 수에서 number0을 빼야 하는데 잘못하여 number1을 뺀 결과가 number2이 나왔습니다. 바르게 계산한 결과를 구하시오.,number2 + number1 - number0,8,6,41 27 22 ,
어떤 수에서 number0을 뺐더니 number1가 되었습니다. 어떤 수에서 number2를 빼면 얼마가 되는지 구하시오.,number0 + number1 - number2,7,5,9 64 66 ,
어떤 수를 number0로 나누어야 할 것을 잘못하여 number1로 나누었더니 몫이 number2이 되었습니다. 바르게 계산하면 얼마인지 구해보시오.,( number2 * number1 ) / number0,6,1,2 4 3 ,
name0이는 공부를 어제는 number0분하였고 오늘은 어제보다 number1분을 더 많이 하였습니다. name1이가 이틀 동안 한 공부는 모두 몇 분입니까?,number0 + ( number0 + number1 ),504,4,153 198 ,태형 
색연필의 길이는 number0cm보다 number1mm 더 깁니다. 색연필의 길이는 몇 mm인가?,( number0 * 10 ) + number1,156,9,15 6 ,
name0이는 number0개의 name1을 갖고 있습니다. name2이가 number1개의 name3을 주었다면 name4이가 갖고 있는 name5은 몇 개입니까?,number0 + number1,70,4,8.0 62.0 ,민영 호석 라면 
"name0이는 연필을 number0자루 샀고, 색연필은 연필보다 number1자루 더 적게 샀습니다. name1이가 산 학용품은 모두 몇 자루일까요?",number0 + number0 - number1,15,9,9 3 ,유정 
어떤 자연수를 number0로 나눌 때 나머지가 될 수 있는 수 중에서 가장 큰 수는 얼마입니까?,number0 - 1,71,8,72 ,
"name0이가 방학동안 소설책 number0권, 만화책 number1권, 역사서 number2권을 읽었습니다. name1이가 방학 동안 읽은 책은 모두 몇 권일까요?",number0 + number1 + number2,13,3,3 9 1 ,호석 
name0이는 도화지를 number0장 가지고 있었습니다. 그중에서 number1장을 누나에게 주었습니다. name1이에게 남은 도화지는 몇 장일까요?,number0 - number1,4,2,9 5 ,남준 
"name0는 number0원짜리 동전 number1개, number2원짜리 동전 number3개, number4원짜리 동전 number5개를 가지고 있습니다. name1가 가지고 있는 돈은 모두 얼마일까요?",number0 * number1 + number2 * number3 + number5 * number4,627,8,100 5 10 12 1 7 ,유나 
어느 가게에서 봄맞이 할인 행사를 하여 바지 number0벌 중에서 number1벌을 팔았습니다. 팔고 남은 바지는 몇 벌인가요?,number0 - number1,217,3,876 659 ,
어떤 수에 number0를 곱했더니 number1가 되었습니다. 어떤 수를 구하시오.,number1 // number0,9,6,9 81 ,
name0이와 name1이가 name2에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name3이가 가진 번호표는 number0번이고 name4이가 가진 번호표는 number1번입니다. 누가 먼저 입장 할 수 있을까요?,'name0' if number0 < number1 else 'name1',지민,7,374 369 ,정국 지민 박물관 
마당에 고양이 number0마리와 닭이 있습니다. 다리를 세어보니 모두 number1개였을 때 닭은 몇마리입니까?,( number1 - ( 4 * number0 ) ) / 2,6,5,6 36 ,
name0를 number0로 나누면 몫이 number1입니다. name1를 구하시오.,number0 * number1,42,8,7 6 ,A 
name0추 number0개를 두 바구니에 나누어 담으려고 합니다. name1추를 한 바구니에 number1개 담으면 다른 바구니에는 몇 개 담아야 하는가?,number0 - number1,8,8,14 6 ,배 배추 배 
name0 number0개를 한 사람에게 number1개씩 주려고 합니다. 몇 명에게 나누어 줄 수 있습니까?,number0 // number1,21,8,126 6 ,빵 
number0대어 number1마리를 어항 number2개에 똑같이 나누어 담으려고 합니다. 어항 number3개에 number4대어를 몇 마리씩 담아야 합니까?,number1 / number2,3,5,10 27 9 1 10 ,
number0분에 number1km를 달리는 name0와 number2분에 number3km를 달리는 name1가 있습니다. number4분 동안 같은 속도로 달렸다면 name2는 name3보다 몇 km 더 많이 가는 지 쓰시오.,( ( number1 / number0 ) - ( number3 / number2 ) ) * number4,15,6,10 13 15 12 30 ,자동차 버스 
크기가 같은 정삼각형을 여러 개 만들려고 길이가 number0cm인 끈을 number1명에게 똑같이 나누어 주었더니 number2cm가 남았습니다. 만든 정삼각형의 한 변의 길이는 몇 cm 일까요?,( number0 - number2 ) / number1,21,5,320 15 5 ,
"name0이는 꽃집에서 튤립 number0송이, 카네이션 number1송이, 수국 number2송이를 샀습니다. name1이가 산 꽃은 모두 몇 송이일까요?",number0 + number2 + number2,8,2,2 3 3 ,태형 
어떤 수를 number0로 나누어야 할 것을 잘못하여 number1으로 나누었더니 몫이 number2이 되었습니다. 바르게 계산하면 몫은 얼마입니까?,( number2 * number2 ) / number0,4,1,9 6 6 ,
"name0와 name1이는 어제와 오늘 축구 시합을 하였습니다. name2는 어제 number0개, 오늘 number1개의 골을 넣었고, name3이는 어제 number2개, 오늘 number3개의 골을 넣었습니다. number4일 동안 누가 골을 더 많이 넣었을까요?",'name0' if number0 + number1 > number2 + number3 else 'name1',윤기,1,6 8 7 5 2 ,윤기 호석 
"name0이는 number0권의 책을 읽었습니다. 각 책은 number1장 일 때, 총 몇 장을 읽었습니까?",number0 * number1,68,9,4.0 17.0 ,정국 
"number0개의 수 number1, number2, number3가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 차는 얼마입니까?","max( number1 , number2 , number3 ) - min( number1 , number2 , number3 )",287,9,3 220 376 507 ,
"비가 어제는 number0cm, 오늘은 number1mm 내렸습니다. 비는 어제와 오늘 모두 몇 cm 내렸습니까?",number0 + ( number1 / 10 ),3.70,2,3 7 ,
한 대에 number0명씩 탈 수 있는 name0가 있습니다. 이 name1 number1대에 탈 수 있는 인원은 모두 몇 명입니까?,number0 * number1,145,1,29 5 ,버스 
"자연수 name0number0 number1, number2, number3, number4 의 규칙에 따라 number5 다음에 오는 수를 예측하시오.",number5 + ( number2 - number1 ),163,4,10 35 67 99 131 131 ,배 배 
꽃병에 name0 장미 number0송이와 name1 장미 number1송이가 꽂혀 있습니다. 꽃병에 꽂혀 있는 장미는 모두 몇 송이일까요?,number0 + number1,8,9,2 6 ,파란색 빨간색 
name0이는 구슬을 number0개 가지고 있습니다. name1이와 동생이 구슬을 똑같이 나누어 가지려면 각각 몇개를 가져야 number1요?,number0 / 2,3,1,6 1 ,지민 
"name0이는 number0개의 검은 풍선을 갖고 있습니다. name1는 name2이보다 number1name3 더 많은 풍선을 갖고 있을 때, name4가 갖고 있는 풍선은 몇 개입니까?",number0 * number1,28,9,7.0 4.0 ,민영 은지 배 배 
"서로 다른 두 자연수 name0, name1가 있습니다. 'name2+name3=number0', 'name4=name5+name6+name7+name8'일 때, name9를 구하시오.",number0 / ( 4 + 1 ),6,8,30 ,A B 
봉지에 색종이가 number0개씩 묶음 number1개와 낱개 number2개가 들어 있습니다. 봉지에 들어 있는 색종이는 모두 몇 개일까요?,number0 * number1 + number2,23,4,10 2 3 ,
name0이는 number0㎝의 밧줄로 고춧대를 묶으려고 합니다. 밧줄을 number1㎝씩 잘라서 고춧대를 묶는다면 고춧대를 몇 개까지 묶을 수 있습니까?,number0 // number1,4,4,348 70 ,남준 
"number0개의 숫자의 name0number1 number2, number3, number4, number5이 있습니다. 이 name1number6에서 number7보다 큰 수는 몇 개입니까?","number0 - sorted( [ number2 , number3 , number4 , number7 ] ).index( number7 ) - 1",3,5,4 10 83.28 46 24.77 18 10 18 ,배 배 
name0의 number0자리 수와 number1자리 수를 바꾼 후 number2와 더하였더니 number3이 되었다면 처음 number4자리 수와 number5의 차는 얼마입니까?,( number3 - number2 ) + ( ( number3 - number2 ) % 10 - ( number3 - number2 ) // number1 ) * 99 - number5,634,8,1 100 395 723 3 189 ,B 
"number0,number1,number2,number3,number4,number5,number6,number7,number8,number9,number10,number11,number12,number13과 같이 반복되는 수number14이 있습니다. 왼쪽에서 number15째 번 숫자는 name0엇입니까?","[ number7 , number8 , number9 , number10 , number11 , number12 , number13 ] [ number15 % number13 - number7 ]",1,5,1 2 3 4 5 6 7 1 2 3 4 5 6 7 10 57 ,무 
"남자 number0명은 number1명씩 모둠을 만들고, 여자 number2명은 number3명씩 모둠을 만들었다. 만든 모둠은 모두 몇 모둠인지 구해 보시오.",number0 / number1 + number2 / number3,4,2,50 25 60 30 ,
길이의 차가 number0cm number1mm인 두 철사가 있습니다. 이 철사들을 겹치지 않게 이었더니 전체 길이가 number2cm가 되었습니다. 길이가 더 긴 철사의 길이는 몇mm 입니까?,( number2 * 10 - ( number0 * 10 + number1 ) ) / 2 + number0 * 10 + number1,148,6,5 6 24 ,
name0이는 number0살입니다. name1이는 name2이보다 number1살 더 적고 name3이는 name4이보다 number2살 더 적습니다. name5이는 몇 살일까요?,number0 - number2 - number2,6,7,8 1 1 ,유정 호석 석진 
"name0이는 number0개의 조개와 number1개의 불가사리를 발견했습니다. number2개의 조개를 바다에 뿌렸을 때, name1이가 가진 조개는 몇 개 입니까?",number0 - number2,2,6,6.0 4.0 4.0 ,석진 
"number0장의 수 카드 number1, number2, number3를 한 번씩만 사용하여 number4자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 차를 구하시오.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number1 , number2 , number3 ] , reverse = True ) ] ] [0] - [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number1 , number2 , number3  ] ) ] ] [0]",495,8,3 7 5 2 3 ,
끈 number0cm를 사서 number1cm를 잘라 동생을 주었습니다. 남은 끈을 모두 이용하여 정사각형을 number2개 만들려고 합니다. 만든 정사각형의 한 변의 길이는 얼마인지 쓰시오.,( number0 - number1 ) / 4,9,8,74 38 1 ,
줄넘기를 name0이는 number0회 하였고 name1는 number1회 하였습니다. name2이와 name3가 한 줄넘기는 모두 몇 회일까요?,number0 + number1,30,6,20 10 ,유나 호석 
서점에서 책 number0권을 number1권씩 묶어서 팔려고 합니다. 총 몇 묶음이 만들어지는지 쓰시오.,number0 / number1,5,8,125 25 ,
"number0자리 숫자가 number1이고, number2자리 숫자가 number3인 number4자리 수보다 number5 작은 수는 얼마입니까?",number2 * number3 + number1 - number5,37,8,1 6 10 4 2 9 ,
"name0이와 name1이는 모양과 크기가 같은 색종이를 한 장씩 가지고 있습니다. 색종이를 name2이는 number0만큼 사용했고, name3이는 number1만큼 사용했습니다. 색종이를 더 많이 사용한 사람은 누구입니까?","""name0"" if number0 > number1 else ""name1""",지민,8,1/9 1/7 ,남준 지민 
"공책이 number0개 있습니다. 그중에서 name0가 number1개를 가져가고, name1가 number2개를 가져갔습니다. name2와 name3가 가져가고 남은 공책은 몇 개일까요?",number0 - number1 - number2,3,9,12 5 4 ,유나 은지 
"name0, name1, name2이가 뽑은 수 카드는 각각 number0, number1, number2입니다. 세 사람이 뽑은 수 카드에 적힌 수 중에서 가장 큰수와 가장 작은 수의 차를 구해보시오","max( number0 , number1 , number2 ) - min( number0 , number1 , number2 )",627,6,248 875 536 ,남준 호석 지민 
name0에서 출발하는 name1에 number0명이 탔습니다. 다음 역에서 number1명이 내리고 새로 탄 사람은 없었습니다. name2에는 몇 명이 타고 있나요?,number0 - number1,167,6,343 176 ,(가) 버스 
"어떤 수를 number0로 곱하여야 하는데 잘못하여 나누었더니 몫이 number1이고, 나머지가 number2였습니다. 옳게 계산한 값을 구하시오.",( number0 * number1 + number2 ) * number0,40095,5,55 13 14 ,
한 봉지에 number0개씩 들어 있는 구슬이 number1봉지 있습니다. number2봉지에 들어 있는 구슬은 모두 몇 개인가?,number0 * number2,78,3,13 6 6 ,
대추가 number0개 있습니다. name0이가 대추를 number1개 먹으면 대추는 몇 개 남을까요?,number0 - number1,8,7,10 2 ,태형 
빈 병이 number0개 있습니다. 한 바구니에 빈 병을 number1개씩 담으려고 합니다. 바구니는 몇 바구니 필요합니까?,number0 / number1,4,7,36 9 ,
냉장고에 name0가 number0병 들어있습니다. number1개의 냉장고 안에 있는 name1는 모두 몇 병일까요?,number0 * number1,4636,5,76 61 ,음료수 
"어느 name0 가게에서 생과일을 직접 갈아서 팔고있습니다. name1 name2 number0l가 number1원, 파인애플 name3 number2l가 number3원일 때, name4 name5 number4l와 파인애플 name6 number5l의 가격은 모두 얼마입니까?",( number1 * ( 1 / 10 ) ) / ( 3 / 10 ) * 5 + ( ( number3 * ( 1 / 10 ) ) / ( 2 / 10 ) ) * 7,2750,4,3/10 600 2/10 500 0.5 0.7 ,귤 주스 
name0이는 꽃 number0개를 만들기 위해 철사 number1cm를 number2도막으로 똑같이 나누었더니 한 도막의 길이가 number3cm였습니다. name1이도 미영이와 같은 방법으로 철사 number4m를 사용하여 꽃 number5개를 만들려고 합니다. name2이가 꽃 number6개를 만들기 위해 필요한 철사는 몇 m 입니까?,number4 / number5,1.22,1,4 488 4 122 4.88 4 1 ,민영 정국 
name0이는 number0개의 자두와 number1개의 복숭아를 갖고 있습니다. name1이가 가진 과일은 총 몇 개입니까?,number0 + number1,227,5,122.0 105.0 ,호석 
한 상자에는 name0이 number0줄 들어있습니다. number1개의 상자 안에 있는 name1은 모두 몇 줄일까요?,number0 * number1,5742,5,87 66 ,김밥 
name0가 number0개씩 들어 있는 바구니가 number1개 있습니다. name1를 number2명에게 number3개씩 나누어 주었다고 할 때 남은 name2는 몇 개입니까?,( number0 * number1 ) % number2,34,3,18 4 38 1 ,과자 
name0 number0개를 봉지 number1개에 똑같이 나누어 담으려고 합니다. 봉지 number2개에 name1를 몇 개씩 담아야 합니까?,number0 / number1,8,8,40 5 1 ,무 
꿀벌은 number0의 꿀을 생산했지만 name0이가 number1의 꿀을 먹었습니다. 얼마나 많은 꿀이 남아 있습니까?,number0 - number1,0.31,8,0.36 0.05 ,민영 
박스 number0에 메론 number1개를 넣었습니다. number2개의 박스 안에 있는 메론은 모두 몇 개일까요?,number1 * number2,1863,2,1 27 69 ,
넓이가 number0cm^number1인 직사각형이 있습니다. 이 직사각형의 가로가 number2cm일 때 세로는 몇 cm입니까?,number0 / number2,5,5,21 2 4.2 ,
name0이는 name1 number0개를 상자에 number1개씩 담아 포장하였습니다. 포장하고 남는 name2은 몇 개인지 옳게 구한 것은 어느 것입니까?,number0 % number1,10,8,685 15 ,호석 귤 
"name0는 number0마리의 개구리와 number1마리의 달팽이가 있습니다. name1가 개구리 number2마리를 팔았을 때, 남은 애완동물은 몇 마리입니까?",number0 + number1 - number2,28,8,36.0 18.0 26.0 ,윤기 
"name0이는 name1박스 number0개를 가졌습니다. number1개를 동생에게 주고, 각 name2박스에는 number2개의 name3가 들어있습니다. 총 name4의 개수는 몇 개 입니까?",number2 * ( number0 - number1 ),12,4,9.0 3.0 2.0 ,유정 무 
성적이 낮은 사람부터 순서대로 number0명이 한 줄로 서 있습니다. name0이가 앞에서부터 number1번째에 서 있습니다. 성적이 높은 사람부터 순서대로 다시 줄을 서면 name1이는 앞에서부터 몇 번째에 서게 됩니까?,number0 - number1 + 1,5,4,9 5 ,호석 
"화분에 name0 카네이션이 number0송이, 분홍색 카네이션이 number1송이, name1 카네이션이 number2송이 꽃혀 있습니다. 화분에 꽂혀 있는 카네이션은 모두 몇 송이일까요?",number2 + number1 + number2,5,2,2 1 2 ,빨간색 흰색 
"name0는 number0마리의 물고기를 키웁니다. name1에게 number1마리를 주었다면, 총 몇 마리의 물고기가 있습니까?",number0 - number1,15,5,50.0 35.0 ,윤기 은지 
"number0짜리 끈을 name0이는 number1도막, name1이는 number2도막, name2이는 number3도막 가지고 있습니다. 끈을 가장 많이 가지고 있는 사람은 누구입니까?","'name2' if max( number1 , number2 , number3 ) == number1 else ( 'name1' if max( number1 , number2 , number3 ) == number3 else 'name0' )",정국,3,1/7 4 6 5 ,정국 남준 호석 
어떤 수에 number0을 더할 것을 잘못하여 뺐더니 number1가 되었습니다. 바르게 계산하면 얼마일까요?,number1 + number0 + number0,71,8,18 35 ,
name0의 반 학생 수는 number0명입니다. 담임선생님께서 학생들에게 name1을 number1개씩 나누어 주었더니 number2개가 남았습니다. 처음에 name2은 몇 개 있었나요?,number1 * number0 * number2,1391,2,20 69 11 ,유나 사탕 
어떤 수에 number0를 더하면 number1과 같습니다. 어떤 수보다 number2 큰 수는 얼마일까요?,number1 - number0 + number2,73,4,24 81 16 ,
name0이는 저녁 식사에 number0명을 초대했습니다. 그중 number1명은 오지 않았습니다. 식탁 당 number2명 씩 앉을 수 있다면 총 몇 개의 식탁이 필요합니까?,( number0 - number1 ) / number2,2,4,18.0 12.0 3.0 ,남준 
어떤 소수의 소수점을 오른쪽으로 number0자리 옮기면 원래보다 number1만큼 커집니다. 원래의 소수를 구하시오,number1 / ( ( 10 ** number0 ) - 1 ),0.10,7,2 10.28 ,
name0에 책이 number0권 있었습니다. 그 중에서 학생들이 몇 권을 빌려 갔더니 name1에 남아 있는 책은 number1권 이었습니다. 학생들이 빌려 간 책은 몇 권인지 쓰세요.,number0 - number1,69,2,98 29 ,도서관 
name0이는 한 봉지에 number0개씩 들어 있는 name1 number1봉지를 사서 number2명의 친구와 똑같이 나누어 가졌습니다. 이 중에서 number3개를 어머니에게 주었다면 name2이에게 남은 name3은 몇 개 인가요? ,number0 * number2 / number2 - number3,5,6,6 12 12 1 ,호석 라면 
지우개 number0개를 상자 number1개에 똑같이 나누어 담으려고 합니다. 상자 number2개에 지우개를 몇 개씩 담아야 합니까?,number0 / number1,5,6,10 2 1 ,
name0는 총 number0권의 책을 갖고 있습니다. 책꽂이에 각각 number1개의 책을 꽂는다면 총 몇 개의 책꽂이가 필요합니까?,number0 / number1,14,9,42.0 3 ,유나 
"서로 다른 number0마리의 병아리가 있다. 그 중에서 number1마리의 병아리를 고르려고 할 때, 고를 수 있는 경우의 수를 구하여라.","math.comb( number0 , number1 )",88,3,88 87 ,
name0이에게는 number0개의 name1박스가 있습니다. 각 박스에는 number1개의 name2이 있습니다. 총 몇 개의 name3을 갖고 있습니까?,number1 * number1,49,7,7.0 7.0 ,민영 귤 
"엘리베이터에 number0명이 타고 있었습니다. number1층에서 number2명이 타고, number3층에서 number4명이 탔습니다. 엘리베이터에 남은 사람은 몇 명일가요?",number4 + number2 + number4,8,4,3 2 2 5 3 ,
name0이는 name1을 하루에 number0개씩 먹는다고 합니다. name2이가 number1월 한 달 동안 먹게 되는 name3은 모두 몇 개인가?,number0 * 30,210,5,7 4 ,남준 수박 
"number0, number1, number2, number3, number4 중 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오.","max( number0 , number1 , 28, number3 , number4 ) // min( number0 , number1 , 28, number3 , number4 )",27,9,81.9 22.3 28 3 55 ,
number0과 number1을 어떤 수로 나누면 number2수 모두 나누어 떨어집니다. 어떤 수 중에서 가장 큰 수를 구하시오.,"math.gcd( number0 , number1 )",54,2,54 216 2 ,
급식실에 의자가 number0개 있습니다. 한 식탁에 의자를 number1개씩 놓는다면 필요한 식탁의 개수는 몇 개입니까?,number0 / number1,8,3,80 10 ,
number0명이 짝을 지어 놀이를 하였습니다. 한 모듬에 number1명씩 짝을 지었다면 모둠을 몇 개 만들 수 있는지 구하시오.,number0 / number1,5,4,50 10 ,
"name0이와 name1는 각각 같은 name2을 한 줄씩 사서 먹은 후 남은 양을 알아보니 name3이는 전체의 number0, name4는 전체의 number1이 남았습니다. name5을 더 많이 먹은 사람은 누구인가요?",'name1' if 6 / 13 > 4 / 13 else 'name0',윤기,8,6/13 4/13 ,남준 윤기 김밥 
name0이네 모둠은 막대 number0개을 number1개씩 나누어 가졌고 name1이네 모둠은 막대 number2개을 number3개씩 나누어 가졌습니다. 막대를 나누어 가진 학생은 모두 몇 명일까요?,number0 / number1 + number2 / number3,9,7,15 3 16 4 ,유정 호석 
전기줄에 참새가 number0마리 있었는데 number1마리가 날아갔습니다. 전깃줄 위에 남아 있는 참새는 몇 마리일까요?,number0 - number1,29,7,80 51 ,
"name0는 왼쪽부터 name1 바둑돌과 name2 바둑돌을 번갈아가며 number0개 놓았고, name3이는 왼쪽부터 name4 바둑돌 number1개, name5 바둑돌 number2를 반복해서 number3개 놓았다. 이 때, 같은 자리에 name6 바둑돌을 놓는 경우는 모두 몇 번입니까?","len( [ j for j in [ i for i in range( ( number2 + number2 ) - number2 , number3 , number2 + number2 ) ] if j in [ i for i in range( ( number1 + number2 ) - number2 , number3 , number1 + number2 ) ] ] )",5,7,30 2 1 30 ,유나 지민 흰색 검은색 
마트에 name0이 number0개 있었습니다. 그중에서 number1개를 팔았다면 남은 name1은 몇 개입니까?,number0 - number1,406,2,925 519 ,감 
"name0이네 조엔 남아가 number0명, 여아가 number1명입니다. name1이네 조에 있는 아이는 모두 몇 명일까요?",number0 + number1,9,4,6 3 ,석진 
"name0이는 텃밭에서 number0개의 대파를 키웠습니다. 벌레가 number1개를 먹었을 때, name1이는 몇 개의 대파를 갖고 있습니까?",number0 - number1,5,6,8.0 3.0 ,유정 
" name0, name1, name2, name3, name4, name5의 number0 팀이 탁구 시합을 한다. 어느 팀과도 한 번씩 시합을 한다고 할 때, 모두 몇 번의 시합이 있겠는가?","math.comb( number0 , 2 )",15,1,6 ,A B C D E F 
name0 number0개를 서로 다른 number1마리의 토끼에게 나누어 주려고 한다. 토끼는 적어도 name1 number2개는 받습니다. name2을 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( number0 - ( number1 * number2 ) + number1 - number2 , number0 - ( number1 * number2 ) )",3,9,4 3 1 ,당근 
name0이 number0개씩 number1봉지 있습니다. 이 중에서 name1 number2개를 먹었다면 남은 name2은 몇 개인가요?,number0 * number1 - number2,21,1,5 6 9 ,라면 
"학생들이 복도에 한 줄로 서 있습니다. name0이는 number0번째, name1이는 number1번째에 서 있습니다. name2이와 name3이 사이에는 몇 명이 서 있을까요?",number1 - number0 - 1,2,8,4 7 ,민영 정국 
연필 number0자루를 한 봉지에 number1자루씩 담으려고 합니다. 몇 봉지에 담을 수 있는가?,number0 / number1,5,9,10 2 ,
name0이네 가족은 number0명입니다. name1이네 가족은 name2이네 가족보다 number1명이 더 많습니다. name3이네 가족과 name4이네 가족은 모두 몇 명입니까?,number1 + number1 + number1,9,8,3 3 ,민영 정국 
name0추 number0개를 한 봉지에 number1개씩 담아 팔려고 합니다. 몇 봉지를 팔 수 있는지 number2가지 방법으로 구해 보시오.,number0 / number1,4,2,12 3 2 ,배 배추 배 
"name0이네 모둠은 name1 number0개를 number1명이 똑같이 나누어 가졌고, name2네 모둠은 name3 number2개를 number3명이 똑같이 나누어 가졌습니다. number4명이 가지게 되는 name4의 개수가 더 많은 모둠은 누구의 모둠입니까?",'name1' if number0 / number1 > number2 / number3 else 'name0',호석,4,36 6 25 5 1 ,유나 호석 과자 
"number0, number1, number2, number3, number4과 같은 규칙으로 수를 name0number5하고 있습니다. number6번째 수를 구하시오.","sum( [ 2 * i + 1 for i in range( 1 , number6 - 1 ) ] ) * ( number1 - number0 ) + number1",815,2,5 15 45 95 165 10 10 ,배 배 
"급식실에 학생이 number0명이 있었는데, 잠시 후 학생 number1명이 강당으로 들어갔습니다. 급식실에 있는 학생은 모두 몇 명일까요?",number0 - number1,22,5,25 3 ,
"name0자를 name1이는 number0개 먹었고, name2이는 name3이보다 number1개 더 많이 먹었습니다. name4이와 name5이가 먹은 name6자는 모두 몇 개일까요?",number0 + number0 + number1,15,5,6 3 ,민영 호석 감 
name0네 학교에서 수영장까지의 거리는 number0km보다 number1m 더 멉니다. name1네 학교에서 수영장까지의 거리는 몇 m입니까?,( number0 * 1000 ) + number1,1200,8,1 200 ,은지 
number0부터 number1까지의 수 중에서 number2의 name0수는 모두 몇 개입니까?,"len( [ i for i in range( number0 , number1 + 1 ) if i % number2 == 0 ] )",17,2,20 70 3 ,배 배 
줄기에 name0이 number0개 달려 있었습니다. 그 중에서 number1개를 따서 먹었습니다. 줄기에 남은 name1은 몇 개인가?,number0 - number1,3,5,5 2 ,수박 
"그림 그리기 대회에 name0이 number0명, name1이 number1명 참가했습니다. name2은 name3보다 몇 명 더 많이 참가했나요?",number0 - number1,106,7,324 218 ,남학생 여학생 
name0이는 number0개의 name1를 갖고있습니다. name2이가 number1개의 name3를 먹었다면 남은 name4의 개수는?,number0 - number1,11,8,55.0 44.0 ,민영 유정 무 
"number0개의 숫자 number1, number2, number3를 한 번씩만 사용하여 number4자리 수를 만들려고 합니다. 만들 수 있는 number5자리 수는 모두 몇 개입니까?",math.factorial( number5 ),6,1,3 8 6 4 3 3 ,
"월요일에 number0인치의 천을 샀습니다. name0에 number1인치의 천을 샀을때, 총 천의 길이는 얼마입니까?",number1 + number0,0.6,8,0.4 0.2 ,화요일 
어떤 수에 number0를 곱해야 할 것을 잘못하여 어떤 수를 number1로 나누었더니 몫이 number2이 되었습니다.바르게 계산한 값을 구하시오,( number2 * number1 ) * number1,175,3,5 5 7 ,
어떤 수에서 number0를 빼야 할 것을 잘못하여 number1을 뺐더니 number2가 되었습니다. 바르게 계산하면 얼마입니까?,( number2 + number1 ) - number0,2.3,9,6.2 2.6 5.9 ,
name0에게는 number0 권의 만화책이 있습니다. name1는 number1 권의 위인전이 있습니다. 그들이 가진 총 책은 몇 권입니까?,number0 + number1,42,9,22.0 20.0 ,유나 윤기 
name0 number0개를 바구니 number1개에 똑같이 나누어 담고 모둠별로 바구니를 number2개씩 주었습니다. name1이네 모둠 number3명의 학생이 바구니에 있는 name2를 똑같이 나누어 가져갔다면 한 사람이 받게되는 name3는 몇 개 일까요?,( number0 / number1 ) / number3,3,5,54 6 1 3 ,호석 토마토 
name0이네 학교 number0학년은 한 반에 number1명씩 number2개 반이 있습니다. number3학년 학생들에게 연필을 number4자루씩 나누어 주려고 합니다. 연필은 모두 몇 자루가 필요합니까?,number1 * number2 * number4,168,8,3 21 4 3 2 ,남준 
"name0는 지우개를 어제 number0개, 오늘 number1개 모았습니다. name1가 모은 지우개는 모두 몇 개일까요?",number0 + number1,8,5,2 6 ,윤기 
달팽이 number0마리 당 name0추잎을 number1개 먹을 수 있습니다. number2마리의 달팽이는 몇 개의 name1추잎을 먹을 수 있을까요?,number1 * number2,60,1,1 6 10 ,배 배추 배 
떡 number0개를 한 봉지에 number1개씩 담아 포장하려고 합니다. 봉지는 몇 개 필요합니까?,number0 / number1,5,5,15 3 ,
"name0이는 name1을 number0개로 number1상자, number2개씩 number3바구니 낱개로 number4개 가지고 있습니다. name2이가 가지고 있는 name3은 몇 개 인가?",number0 * number1 + number2 * number3 + number4,825,3,100 8 10 2 5 ,남준 귤 
name0이네 반에서는 선생님께서 어린이날에 number0원짜리 name1를 학생 number1명에게 number2개씩 나누어 주려고 합니다.  name2 값은 모두 얼마인지 쓰시오. ,number0 * number1,27600,4,1200 23 1 ,호석 과자 
"name0이는 도화지 number0장을 가지고 있었는데 언니에게 number1장을 주고, 동생에게 number2장을 주었습니다. name1이에게 남은 도화지는 몇 장일까요?",number0 - number1 - number2,6,2,14 5 3 ,유정 
마트에 어린이와 어른을 합하여 모두 number0명 있습니다. 그 중 어른이 number1명입니다. 그렇다면 마트에 있는 어린이는 몇 명입니까?,number0 - number1,348,3,537 189 ,
name0이는 지금까지 허들 number0개를 뛰어넘었습니다. name1이가 number1개를 더 뛰어넘으면 모두 몇 개를 뛰어넘은 것일까요?,number0 + number1,15,4,9 6 ,지민 
name0이는 어버이날 부모님께 드릴 카네이션을 만들기 위해 종이 number0장씩 number1묶음을 샀습니다. name1이가 산 종이는 모두 몇 장입니까?,number0 * number1,48,3,24 2 ,정국 
number0에서 어떤 수를 빼야 할 것을 잘못하여 더했더니 number1가 되었습니다. 바르게 계산하면 얼마인지 구해 보시오.,number0 - ( number1 - number0 ),336,5,524 712 ,
냉장고에 name0이 number0개 있고 name1는 name2보다 number1개 더 많이 있습니다. 냉장고에 있는 name3과 name4는 모두 몇 개일까요?,number0 + number0 + number1,72,7,31 10 ,사과 귤 
